4. Building relationships (Carousel),,,,,
"Published Thu Jul 02, 2026 12:06PM | data as of Jul 12 (boosted; likely understated now)",,,,,
,,,,,
Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Thu Jul 2 9:36 PM,Thu Jul 2 10:06 PM,0.5 hr,157,"2,026",
Thu Jul 2 10:06 PM,Thu Jul 2 10:36 PM,0.5 hr,187,"2,213",
Thu Jul 2 10:36 PM,Thu Jul 2 11:06 PM,0.5 hr,119,"2,332",
Thu Jul 2 11:06 PM,Thu Jul 2 11:36 PM,0.5 hr,73,"2,405",
Thu Jul 2 11:36 PM,Fri Jul 3 12:06 AM,0.5 hr,81,"2,486",
Fri Jul 3 12:06 AM,Fri Jul 3 1:06 AM,1.0 hr,137,"2,623",
Fri Jul 3 1:06 AM,Fri Jul 3 2:06 AM,1.0 hr,107,"2,730",
Fri Jul 3 2:06 AM,Fri Jul 3 3:06 AM,1.0 hr,91,"2,821",
Fri Jul 3 3:06 AM,Fri Jul 3 4:06 AM,1.0 hr,133,"2,954",
Fri Jul 3 4:06 AM,Fri Jul 3 5:06 AM,1.0 hr,239,"3,193",
Fri Jul 3 5:06 AM,Fri Jul 3 6:06 AM,1.0 hr,228,"3,421",
Fri Jul 3 6:06 AM,Fri Jul 3 7:06 AM,1.0 hr,343,"3,764",
Fri Jul 3 7:06 AM,Fri Jul 3 8:06 AM,1.0 hr,398,"4,162",
Fri Jul 3 8:06 AM,Fri Jul 3 9:06 AM,1.0 hr,459,"4,621",
Fri Jul 3 9:06 AM,Fri Jul 3 10:06 AM,1.0 hr,593,"5,214",
Fri Jul 3 10:06 AM,Fri Jul 3 11:06 AM,1.0 hr,694,"5,908",
Fri Jul 3 11:06 AM,Fri Jul 3 12:06 PM,1.0 hr,682,"6,590",
Fri Jul 3 12:06 PM,Fri Jul 3 3:06 PM,3.0 hr,926,"7,516",
Fri Jul 3 3:06 PM,Fri Jul 3 6:06 PM,3.0 hr,704,"8,220",
Fri Jul 3 6:06 PM,Fri Jul 3 9:06 PM,3.0 hr,625,"8,845",
Fri Jul 3 9:06 PM,Sat Jul 4 12:06 AM,3.0 hr,402,"9,247",
Sat Jul 4 12:06 AM,Sat Jul 4 3:06 AM,3.0 hr,314,"9,561",
Sat Jul 4 3:06 AM,Sat Jul 4 6:06 AM,3.0 hr,258,"9,819",
Sat Jul 4 6:06 AM,Sat Jul 4 9:06 AM,3.0 hr,315,"10,134",
Sat Jul 4 9:06 AM,Sat Jul 4 12:06 PM,3.0 hr,415,"10,549",
Sat Jul 4 12:06 PM,Sat Jul 4 6:06 PM,6.0 hr,822,"11,371",
Sat Jul 4 6:06 PM,Sun Jul 5 12:06 AM,6.0 hr,593,"11,964",
Sun Jul 5 12:06 AM,Sun Jul 5 6:06 AM,6.0 hr,305,"12,269",
Sun Jul 5 6:06 AM,Sun Jul 5 12:06 PM,6.0 hr,364,"12,633",
Sun Jul 5 12:06 PM,Sun Jul 5 6:06 PM,6.0 hr,357,"12,990",
Sun Jul 5 6:06 PM,Mon Jul 6 12:06 AM,6.0 hr,271,"13,261",
Mon Jul 6 12:06 AM,Mon Jul 6 6:06 AM,6.0 hr,145,"13,406",
Mon Jul 6 6:06 AM,Mon Jul 6 12:06 PM,6.0 hr,371,"13,777",
Mon Jul 6 12:06 PM,Tue Jul 7 12:06 AM,12.0 hr,"1,234","15,011",
Tue Jul 7 12:06 AM,Tue Jul 7 12:06 PM,12.0 hr,"1,570","16,581",
Tue Jul 7 12:06 PM,Wed Jul 8 12:06 AM,12.0 hr,"2,255","18,836",
Wed Jul 8 12:06 AM,Wed Jul 8 12:06 PM,12.0 hr,954,"19,790",
Wed Jul 8 12:06 PM,Thu Jul 9 12:06 AM,12.0 hr,"1,365","21,155",
Thu Jul 9 12:06 AM,Thu Jul 9 12:06 PM,12.0 hr,"1,295","22,450",
Thu Jul 9 12:06 PM,Fri Jul 10 12:06 PM,24.0 hr,"2,784","25,234",
Fri Jul 10 12:06 PM,Sat Jul 11 12:06 PM,24.0 hr,"2,580","27,814",
Sat Jul 11 12:06 PM,Sun Jul 12 12:06 PM,24.0 hr,"3,510","31,324",
Sun Jul 12 12:06 PM,Mon Jul 13 12:06 PM,24.0 hr,"3,901","35,225",
Mon Jul 13 12:06 PM,Tue Jul 14 12:06 PM,24.0 hr,"2,798","38,023",
